boundary_x,boundary_y
358760.4822,4553921.745
358615.7341,4553443.979
358598.4925,4553049.199
358593.8426,4552588.031
358580.5817,4551929.473
358529.5378,4551470.083
358512.2938,4551075.306
358506.9323,4550597.689
358594.9468,4552258.455
358538.248,4550250.479
358521.0142,4549855.702
358503.7715,4549460.924
358486.5366,4549066.146
358469.2929,4548671.37
358452.0571,4548276.593
358434.8124,4547881.816
358417.5756,4547487.04
358400.3299,4547092.264
358383.0922,4546697.487
358365.8455,4546302.712
358407.6366,4545839.769
358390.4006,4545444.993
358373.1558,4545050.218
358439.2854,4544433.937
359133.452,4553951.396
358840.0486,4544378.783
359505.459,4553959.131
359212.7819,4544392
359878.4222,4553988.819
359551.0651,4544326.365
359623.3446,4543849.092
359606.1764,4543454.316
359588.9993,4543059.542
359581.9478,4542540.809
360249.4682,4553974.662
359610.867,4542136.039
359593.6999,4541741.264
359576.524,4541346.491
359559.356,4540951.716
359542.179,4540556.942
359525.01,4540162.17
359520.1031,4539692.785
359546.9016,4539238.671
359529.7259,4538843.898
359538.7744,4538338.286
359496.0999,4538070.802
359497.7515,4537395.219
359474.8524,4536868.857
359509.1965,4537658.401
359571.2922,4536230.857
360620.5231,4553960.522
359970.3091,4536125.059
361015.2873,4553983.16
360342.2699,4536110.929
361418.5214,4556654.268
361273.9919,4556176.453
361256.8909,4555781.669
361239.7979,4555386.887
361222.696,4554992.103
361205.5936,4554597.32
361213.7153,4554069.769
360649.3785,4536033.373
360691.4128,4535570.455
360674.311,4535175.683
360642.1216,4534671.644
361791.3358,4556684.051
360696.4014,4534252.198
360679.3013,4533857.428
360662.1923,4533462.657
360645.0912,4533067.885
360627.9812,4532673.116
360610.8707,4532278.345
360593.7681,4531883.575
360605.7748,4531443.767
360615.8845,4530960.096
360598.7836,4530565.326
360581.6737,4530170.557
360564.5719,4529775.787
360547.4611,4529381.019
360515.2628,4528876.985
360575.2992,4528589.133
360640.9545,4527952.334
362162.2442,4556669.987
361042.1076,4527884.988
362535.2906,4556705.29
361415.6663,4527898.337
362906.9093,4556707.712
361754.733,4527832.824
361827.3846,4527355.593
361810.3441,4526960.824
361821.5078,4526499.092
361787.1779,4526063.786
361759.9817,4525073.542
361708.1157,4524592.217
361720.2281,4524152.418
361703.1936,4523757.651
363277.8245,4556693.704
361815.6359,4525642.592
361773.2379,4525380.582
361716.2523,4523339.783
361699.2185,4522945.017
361778.1296,4522405.421
363648.7319,4556679.716
362170.5303,4522334.17
364019.6483,4556665.746
