layout_x,layout_y
349525.8715,4536038.746
349516.5264,4534426.527
351128.7453,4534417.182
351138.0903,4536029.401
349485.8225,4539309.627
349476.4775,4537697.408
351088.6963,4537688.063
351098.0413,4539300.282
349445.7735,4542580.507
349436.4285,4540968.288
351048.6473,4540958.943
351057.9924,4542571.162
349405.7246,4545851.388
349396.3795,4544239.169
351008.5983,4544229.824
351017.9434,4545842.043
352836.801,4532807.915
352827.4559,4531195.696
354439.6747,4531186.351
354449.0198,4532798.569
352796.752,4536078.795
352787.407,4534466.576
354399.6258,4534457.231
354408.9708,4536069.45
352756.703,4539349.676
352747.358,4537737.457
354359.5768,4537728.112
354368.9218,4539340.331
352716.6541,4542620.556
352707.309,4541008.337
354319.5278,4540998.992
354328.8729,4542611.211
352676.6051,4545891.437
352667.26,4544279.218
354279.4788,4544269.873
354288.8239,4545882.092
356347.9754,4513222.68
356338.6303,4511610.462
357950.8491,4511601.117
357960.1942,4513213.335
356307.9264,4516493.561
356298.5813,4514881.342
357910.8001,4514871.997
357920.1452,4516484.216
356267.8774,4519764.441
356258.5324,4518152.223
357870.7512,4518142.878
357880.0962,4519755.096
356227.8284,4523035.322
356218.4834,4521423.103
357830.7022,4521413.758
357840.0472,4523025.977
356187.7795,4526306.202
356178.4344,4524693.984
357790.6532,4524684.639
357799.9983,4526296.857
356147.7305,4529577.083
356138.3854,4527964.864
357750.6042,4527955.519
357759.9493,4529567.738
356107.6815,4532847.964
356098.3365,4531235.745
357710.5553,4531226.4
357719.9003,4532838.618
356067.6325,4536118.844
356058.2875,4534506.625
357670.5063,4534497.28
357679.8513,4536109.499
356027.5836,4539389.725
356018.2385,4537777.506
357630.4573,4537768.161
357639.8024,4539380.379
355987.5346,4542660.605
355978.1895,4541048.386
357590.4083,4541039.041
357599.7534,4542651.26
355947.4856,4545931.486
355938.1406,4544319.267
357550.3594,4544309.922
357559.7044,4545922.141
359538.7579,4519804.49
359529.4129,4518192.272
361141.6317,4518182.927
361150.9767,4519795.145
359498.709,4523075.371
359489.3639,4521463.152
361101.5827,4521453.807
361110.9278,4523066.026
359458.66,4526346.251
359449.3149,4524734.033
361061.5337,4524724.688
361070.8788,4526336.906
359418.611,4529617.132
359409.266,4528004.913
361021.4848,4527995.568
361030.8298,4529607.787
359378.562,4532888.012
359369.217,4531275.794
360981.4358,4531266.449
360990.7808,4532878.667
362729.5405,4526386.3
362720.1954,4524774.082
364332.4143,4524764.737
364341.7593,4526376.955
