boundary_x,boundary_y
356474.9187,4549082.315
355909.0201,4547325.816
356474.9187,4545584.032
357719.8958,4549137.598
357153.9971,4545055.771
357153.9971,4543810.794
357719.8958,4541991.842
358342.3843,4540154.591
358964.8728,4550314.39
358964.8728,4538363.64
359530.7714,4536554.977
360096.67,4534787.47
360209.8498,4550421.119
361341.647,4552678.85
360775.7484,4534058.572
360775.7484,4532813.595
361341.647,4531107.823
361964.1355,4529298.866
362473.4443,4527639.688
362586.624,4552723.844
362020.7254,4530543.55
363671.2631,4526403.938
363831.601,4552717.394
364963.3983,4526345.798
365076.578,4552710.943
366095.1956,4528665.262
366264.9652,4552761.376
367340.1726,4555024.544
367293.0144,4529846.586
368471.9698,4532264.41
368585.1496,4555018.093
369151.0482,4553255.731
369151.0482,4552010.753
369151.0482,4550765.776
369151.0482,4549520.799
369151.0482,4548275.822
369151.0482,4547030.845
369151.0482,4545785.868
369151.0482,4544540.891
369151.0482,4543295.914
369151.0482,4542050.937
369151.0482,4540296.652
369462.2925,4533193.011
369773.5367,4539495.509
370282.8455,4537744.244
370282.8455,4536499.267
370282.8455,4535254.29
